season,team_name,location,stadium_name,stadium_capacity,average_attendance,manager_name,promoted,captain
2012/2013,Stoke City,Stoke-on-Trent,Britannia Stadium,27740,26722,Tony Pulis,False,Ryan Shawcross
2012/2013,Sunderland,Sunderland,Stadium of Light,48707,40544,Paolo Di Canio,False,Lee Cattermole
2012/2013,Swansea City,Swansea,Liberty Stadium,20750,20370,Michael Laudrup,False,Garry Monk
2012/2013,Tottenham Hotspur,London (Tottenham),White Hart Lane,36284,36066,André Villas-Boas,False,Michael Dawson
2012/2013,West Bromwich Albion,West Bromwich,The Hawthorns,26445,25293,Steve Clarke,False,Chris Brunt
2012/2013,West Ham United,London (Upton Park),Boleyn Ground,35016,34719,Sam Allardyce,True,Kevin Nolan
2012/2013,Wigan Athletic,Wigan,DW Stadium,25133,19359,Roberto Martínez,False,Gary Caldwell
2013/2014,Arsenal,London (Holloway),Emirates Stadium,60338,60013,Arsène Wenger,False,Thomas Vermaelen
2013/2014,Aston Villa,Birmingham,Villa Park,42682,36080,Paul Lambert,False,Ron Vlaar
2013/2014,Cardiff City,Cardiff,Cardiff City Stadium,27815,27429,Ole Gunnar Solskjær,True,David Marshall
2013/2014,Chelsea,London (Fulham),Stamford Bridge,41798,41481,José Mourinho,False,John Terry
2013/2014,Crystal Palace,London (Selhurst),Selhurst Park,26255,24377,Tony Pulis,True,Mile Jedinak
2013/2014,Everton,Liverpool (Walton),Goodison Park,39571,37731,Roberto Martínez,False,Phil Jagielka
2013/2014,Fulham,London (Fulham),Craven Cottage,25700,24977,Felix Magath,False,Brede Hangeland
2013/2014,Hull City,Kingston upon Hull,KC Stadium,25400,24116,Steve Bruce,True,Robert Koren
2013/2014,Liverpool,Liverpool (Anfield),Anfield,45276,44672,Brendan Rodgers,False,Steven Gerrard
2013/2014,Manchester City,Manchester (Bradford),City of Manchester Stadium,47405,47080,Manuel Pellegrini,False,Vincent Kompany
2013/2014,Manchester United,Manchester (Old Trafford),Old Trafford,75731,75206,David Moyes,False,Nemanja Vidić
2013/2014,Newcastle United,Newcastle upon Tyne,St James' Park,52405,50395,Alan Pardew,False,Fabricio Coloccini
2013/2014,Norwich City,Norwich,Carrow Road,27244,26805,Neil Adams,False,Russell Martin
2013/2014,Southampton,Southampton,St Mary's Stadium,32589,30211,Mauricio Pochettino,False,Adam Lallana
2013/2014,Stoke City,Stoke-on-Trent,Britannia Stadium,27740,26137,Mark Hughes,False,Ryan Shawcross
2013/2014,Sunderland,Sunderland,Stadium of Light,48707,41089,Gus Poyet,False,John O'Shea
2013/2014,Swansea City,Swansea,Liberty Stadium,20750,20406,Garry Monk,False,Ashley Williams
2013/2014,Tottenham Hotspur,London (Tottenham),White Hart Lane,36284,35808,Tim Sherwood,False,Michael Dawson
2013/2014,West Bromwich Albion,West Bromwich,The Hawthorns,26445,25194,Pepe Mel,False,Chris Brunt
2013/2014,West Ham United,London (Upton Park),Boleyn Ground,35016,34196,Sam Allardyce,False,Kevin Nolan
2014/2015,Arsenal,London (Holloway),Emirates Stadium,60272,59993,Arsène Wenger,False,Mikel Arteta
2014/2015,Aston Villa,Birmingham,Villa Park,42682,34132,Tim Sherwood,False,Fabian Delph
2014/2015,Burnley,Burnley,Turf Moor,21401,19042,Sean Dyche,True,Jason Shackell
2014/2015,Chelsea,London (Fulham),Stamford Bridge,41798,41546,José Mourinho,False,John Terry
2014/2015,Crystal Palace,London (Selhurst),Selhurst Park,25747,24413,Alan Pardew,False,Mile Jedinak
2014/2015,Everton,Liverpool (Walton),Goodison Park,39571,38405,Roberto Martínez,False,Phil Jagielka
2014/2015,Hull City,Kingston upon Hull,KC Stadium,25400,23508,Steve Bruce,False,Curtis Davies
2014/2015,Leicester City,Leicester,King Power Stadium,32312,31692,Nigel Pearson,True,Wes Morgan
