player_name,observation_weight,season_count,unweighted_average_hra,weighted_average_hra
James Maddison,55,5,-0.0748613636363636,-0.032181818181818096
Robert Huth,88,6,-0.0324729437229439,-0.029318181818182
Simon Francis,49,4,-0.005901629072682102,-0.02918367346938803
Maynor Figueroa,73,5,-0.036202991452991294,-0.02904109589041076
Aaron Ramsdale,71,4,-0.02614619883040857,-0.02859154929577389
Jake Livermore,47,6,-0.171448863636364,-0.02808510638297914
Romain Saiss,37,4,0.079034090909091,-0.027027027027026983
Neal Maupay,33,3,-0.07145299145299157,-0.02666666666666676
Steven Fletcher,40,6,0.0406458333333334,-0.026499999999999933
Jonny Evans,95,13,-0.029367711236132188,-0.02568421052631557
Stephen Ward,62,5,0.02093099415204629,-0.024193548387096996
John McGinn,54,4,0.01612373737373727,-0.023888888888888984
Jonas Olsson,58,5,-0.06382229045464313,-0.021034482758620333
Tyrone Mings,64,4,-0.011587447478991203,-0.020937499999999592
Cedric Soares,34,6,-0.18589743589743568,-0.017647058823529044
Joel Ward,102,9,0.011738109385168323,-0.016764705882352873
Davy Propper,41,3,-0.01984920634920656,-0.016585365853658746
Illan Meslier,50,3,-0.006031432748537828,-0.016199999999999867
Jack Harrison,44,3,-0.019864316239315987,-0.01568181818181795
James Ward-Prowse,95,10,0.1461627450980388,-0.01473684210526361
Wojciech Szczesny,46,4,-0.03167502088554724,-0.012608695652173867
Raul Jimenez,49,4,-0.025282176973353325,-0.011632653061224258
Conor Coady,81,5,0.03877777777777759,-0.008888888888889187
Fabian Schar,36,5,-0.14800840336134474,-0.006388888888889295
Mason Mount,38,4,-0.04626068376068315,-0.0044736842105256944
Nathaniel Clyne,80,8,0.054445684523809476,-0.003874999999999984
Tomas Soucek,48,3,0.013887483130903702,-0.0035416666666672294
Richarlison,67,5,0.019207886231415804,-0.0032835820895521423
Matthew Lowton,71,9,0.10439558045440389,-0.0030985915492959776
Jussi Jaaskelainen,55,4,-0.43298519736842084,-0.0007272727272723929
Per Mertesacker,57,5,0.00025595238095217355,0.0010526315789471667
Lewis Dunk,94,6,0.000448745154627767,0.0010638297872342726
Tim Howard,111,7,-0.04337780726325629,0.0012612612612611504
Danny Drinkwater,30,3,0.23129233511586436,0.0053333333333328795
Cesc Fabregas,53,6,-0.12089484126984151,0.006226415094339431
Adam Webster,35,4,0.14819534632034692,0.006857142857143498
Daryl Janmaat,43,5,-0.029440170940170818,0.010232558139534954
Andros Townsend,57,8,0.05576860119047611,0.011754385964912233
James Tomkins,63,11,-0.06249883449883444,0.01190476190476192
Ben Mee,108,8,0.015278374768506617,0.014074074074074404
Bradley Guzan,61,5,0.272604334365325,0.016065573770491722
Vicente Guaita,57,5,0.034555555555555416,0.018070175438596184
Yohan Cabaye,55,6,0.0614781746031749,0.019090909090909523
Jonny,31,3,0.014603174603175,0.020967741935483935
Jamaal Lascelles,45,5,0.07230842490842479,0.021333333333333173
Dale Stephens,37,3,0.004329545454544929,0.022432432432432026
Emmerson Boyce,35,4,0.16879411764705843,0.02314285714285698
Chris Wood,41,5,0.2625885780885782,0.02585365853658563
Phil Bardsley,57,10,0.04556056166056147,0.026666666666666453
Geoff Cameron,50,6,-0.15739478114478103,0.028000000000000122
Ezri Konsa,50,4,0.046821969696969834,0.02860000000000024
Emmanuel Adebayor,30,4,-0.06940476190476175,0.029666666666666848
Mark Schwarzer,58,4,0.01701017528223335,0.032758620689654426
Simon Mignolet,96,8,-0.05175028717627385,0.03281250000000013
