player_name,observation_weight,season_count,unweighted_average_hra,weighted_average_hra
Adnan Januzaj,7,2,-0.2725000000000004,-0.49571428571428644
Adrian,38,5,-0.7504493927125504,-0.24605263157894708
Adrian Mariappa,31,5,-0.043899999999999294,0.049354838709678085
Ahmed El Mohamady,57,5,0.16429210526315802,0.17947368421052634
Ahmed Hegazy,19,1,0.1236842105263154,0.1236842105263154
Ahmed Musa,1,1,0.6699999999999999,0.6699999999999999
Ainsley Maitland-Niles,2,2,-0.4400000000000004,-0.4400000000000004
Akos Buzsaky,2,1,1.754999999999999,1.754999999999999
Alan Hutton,37,4,0.09606818181818166,0.13783783783783765
Albert Riera,1,1,-0.0300000000000002,-0.0300000000000002
Albert Sambi Lokonga,1,1,-0.6600000000000001,-0.6600000000000001
Alberto Moreno,20,3,0.06348148148148137,0.2649999999999997
Alejandro Faurlin,1,1,-1.13,-1.13
Aleksandar Dragovic,1,1,1.33,1.33
Aleksandar Kolarov,31,7,0.32448412698412693,0.39354838709677414
Aleksandar Mitrovic,34,4,-0.04698412698412735,0.25676470588235256
Alessandro Diamanti,4,1,1.2025000000000006,1.2025000000000006
Alex,1,1,2.0500000000000007,2.0500000000000007
Alex Baptiste,5,1,0.4039999999999999,0.4039999999999999
Alex Bruce,7,2,0.16624999999999973,0.05428571428571408
Alex Iwobi,46,7,0.12758270676691716,0.10652173913043475
Alex McCarthy,32,5,0.30544444444444424,0.1499999999999996
Alex Oxlade-Chamberlain,15,7,0.3579761904761905,0.3753333333333334
Alex Pearce,5,1,0.508,0.508
Alex Pritchard,8,1,-0.0187499999999998,-0.0187499999999998
Alex Telles,7,2,0.07999999999999918,0.319999999999999
Alexander Isak,2,1,-0.2450000000000001,-0.2450000000000001
Alexander Kacaniklic,7,2,0.030000000000000256,0.07714285714285751
Alexander Tettey,22,4,0.137708333333334,0.1736363636363645
Alexandre Lacazette,36,5,0.1360309523809521,0.15083333333333296
Alexandre Song,42,5,0.05612857142857166,0.25833333333333364
Alexis Mac Allister,18,3,0.00777777777777781,0.20833333333333304
Alexis Sanchez,46,5,0.25218954248366054,0.0706521739130443
Alfie Mawson,28,3,-0.2426535087719296,0.22964285714285793
Ali Al Habsi,45,3,-0.19395175438596515,-0.1408888888888891
Aliaksandr Hleb,2,1,-0.1349999999999998,-0.1349999999999998
Alireza Jahanbakhsh,2,2,0.96,0.96
Alisson,78,5,0.10220198535554562,0.0879487179487179
Allan,13,2,0.19962499999999972,0.22999999999999995
Allan McGregor,22,2,0.007416666666666863,-0.011363636363636182
Allan Saint-Maximin,27,4,0.13316071428571452,0.17888888888888935
Allan-Romeo Nyom,30,3,0.2283333333333332,0.2283333333333332
Almen Abdi,8,1,0.7025000000000006,0.7025000000000006
Alphonse Areola,17,1,-0.2211764705882348,-0.2211764705882348
Alvaro Morata,6,1,-0.0749999999999992,-0.0749999999999992
Alvaro Negredo,19,2,0.3199999999999999,0.1589473684210528
Aly Cissokho,8,2,0.09866666666666735,0.010000000000000897
Amadou Onana,11,1,0.5618181818181824,0.5618181818181824
Ander Herrera,19,5,-0.19922222222222224,-0.1799999999999998
Anderson,6,3,-0.4908333333333336,0.05833333333333316
Andre Ayew,21,3,0.3711111111111114,0.2342857142857148
Andre Bikey,8,1,0.4575000000000004,0.4575000000000004
Andre Carrillo,5,1,0.2080000000000001,0.2080000000000001
Andre Gomes,11,4,0.18891666666666665,0.32818181818181813
Andre Gray,16,3,-0.003863636363636106,0.3006250000000006
Andre Santos,2,1,-0.5300000000000002,-0.5300000000000002
Andre Schurrle,7,2,-0.2829166666666665,-0.2257142857142856
Andre Wisdom,5,2,-0.23874999999999955,-0.3639999999999997
Andre-Frank Zambo Anguissa,13,2,0.39772727272727293,0.10538461538461555
Andreas Christensen,15,4,-0.18553571428571392,-0.05666666666666658
Andreas Pereira,18,2,0.2060714285714282,0.2538888888888888
Andreas Weimann,27,3,0.15794301994302007,0.15518518518518504
Andrew Crofts,1,1,-0.0599999999999996,-0.0599999999999996
Andrew Johnson,7,2,0.6675,0.8214285714285713
Andrew Robertson,91,8,0.20498698869499962,0.19549450549450564
Andrew Surman,38,5,0.13441403508771915,0.1323684210526311
Andrew Taylor,2,1,-0.4749999999999996,-0.4749999999999996
Andrey Arshavin,17,3,0.2851111111111105,0.09294117647058735
