season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2017/2018,Daniel Sturridge,Liverpool,82,ST,England,EPL,4,2,M,L,180cm,76kg,28
2017/2018,Asmir Begović,Bournemouth,82,GK,Bosnia and Herzegovina,EPL,1,2,M,M,199cm,83kg,30
2017/2018,Claudio Bravo,Manchester City,82,GK,Chile,EPL,1,3,M,M,184cm,80kg,35
2017/2018,Javier Hernández,West Ham United,82,ST,Mexico,EPL,3,3,M,L,175cm,73kg,29
2017/2018,Olivier Giroud,Arsenal,82,ST,France,EPL,2,3,M,M,192cm,88kg,31
2017/2018,Georginio Wijnaldum,Liverpool,82,CM,Holland,EPL,3,3,H,H,175cm,69kg,27
2017/2018,Orestis Karnezis,Watford,82,GK,Greece,EPL,1,3,M,M,190cm,81kg,32
2017/2018,Jordan Henderson,Liverpool,82,CDM,England,EPL,3,3,H,H,182cm,67kg,27
2017/2018,Marko Arnautović,West Ham United,82,LM,Austria,EPL,4,4,M,M,192cm,83kg,29
2017/2018,Gylfi Sigurðsson,Everton,82,CAM,Iceland,EPL,3,3,H,M,186cm,77kg,28
2017/2018,Aaron Ramsey,Arsenal,82,CM,Wales,EPL,3,3,H,H,183cm,76kg,27
2017/2018,Victor Wanyama,Tottenham Hotspur,82,CDM,Kenya,EPL,2,3,M,H,184cm,87kg,26
2017/2018,Iborra,Leicester City,82,CDM,Spain,EPL,2,4,M,M,195cm,88kg,30
2017/2018,Nathaniel Clyne,Liverpool,82,RB,England,EPL,3,2,H,M,175cm,67kg,27
2017/2018,Xherdan Shaqiri,Stoke City,82,RM,Switzerland,EPL,4,4,H,M,169cm,72kg,26
2017/2018,Granit Xhaka,Arsenal,82,CDM,Switzerland,EPL,3,2,M,M,185cm,82kg,25
2017/2018,Heung Min Son,Tottenham Hotspur,82,LM,Korea Republic,EPL,4,5,H,H,183cm,77kg,25
2017/2018,Marcos Rojo,Manchester United,82,CB,Argentina,EPL,3,2,M,H,187cm,80kg,28
2017/2018,Eric Dier,Tottenham Hotspur,82,CB,England,EPL,2,3,M,H,188cm,90kg,24
2017/2018,Raheem Sterling,Manchester City,82,RW,England,EPL,4,3,H,M,170cm,69kg,23
2017/2018,Davy Klaassen,Everton,82,CM,Holland,EPL,2,3,H,H,179cm,70kg,25
2017/2018,Roque Mesa,Swansea City,82,CDM,Spain,EPL,2,3,H,H,171cm,74kg,28
2017/2018,Antonio Rüdiger,Chelsea,82,CB,Germany,EPL,2,3,M,H,190cm,85kg,25
2017/2018,Anthony Martial,Manchester United,82,LM,France,EPL,4,4,M,L,181cm,76kg,22
2017/2018,Islam Slimani,Leicester City,82,ST,Algeria,EPL,2,3,H,M,188cm,79kg,29
2017/2018,Tiémoué Bakayoko,Chelsea,82,CDM,France,EPL,2,3,M,M,185cm,77kg,23
2017/2018,Leroy Sané,Manchester City,82,LW,Germany,EPL,3,3,H,M,183cm,75kg,22
2017/2018,Lucas,Tottenham Hotspur,82,RW,Brazil,EPL,4,3,M,M,172cm,72kg,25
2017/2018,Deulofeu,Watford,82,LW,Spain,EPL,4,4,H,L,173cm,74kg,24
2017/2018,Olivier Giroud,Chelsea,82,ST,France,EPL,2,3,M,M,192cm,88kg,31
2017/2018,Islam Slimani,Newcastle United,82,ST,Algeria,EPL,2,3,H,M,188cm,79kg,29
2017/2018,Daniel Sturridge,West Bromwich Albion,82,ST,England,EPL,4,2,M,L,180cm,76kg,28
2017/2018,Marcos Alonso,Chelsea,82,LWB,Spain,EPL,3,3,H,H,188cm,84kg,27
2017/2018,Wilfried Zaha,Crystal Palace,82,RM,Côte d'Ivoire,EPL,4,3,H,M,180cm,66kg,25
2017/2018,Andreas Christensen,Chelsea,82,CB,Denmark,EPL,2,3,M,M,188cm,78kg,22
2017/2018,Joe Hart,Manchester City,82,GK,England,EPL,1,3,M,M,196cm,91kg,31
2017/2018,Stephan Lichtsteiner,Arsenal,82,RB,Switzerland,EPL,2,3,H,H,182cm,75kg,34
2017/2018,Xherdan Shaqiri,Liverpool,82,RW,Switzerland,EPL,4,4,H,M,169cm,72kg,26
2017/2018,Ashley Williams,Stoke City,82,CB,Wales,EPL,2,4,M,H,183cm,77kg,33
2017/2018,Mateo Kovačić,Chelsea,82,CM,Croatia,EPL,4,4,H,M,178cm,77kg,24
2017/2018,André Gomes,Everton,82,CM,Portugal,EPL,3,4,M,M,188cm,84kg,24
2017/2018,Joe Hart,Burnley,82,GK,England,EPL,1,3,M,M,196cm,91kg,31
2017/2018,Per Mertesacker,Arsenal,81,CB,Germany,EPL,2,3,L,M,198cm,90kg,33
2017/2018,Wayne Rooney,Everton,81,CAM,England,EPL,3,4,M,M,176cm,83kg,32
2017/2018,Kevin Mirallas,Everton,81,LM,Belgium,EPL,4,4,H,M,182cm,72kg,30
2017/2018,Simon Mignolet,Liverpool,81,GK,Belgium,EPL,1,2,M,M,193cm,87kg,30
2017/2018,Séamus Coleman,Everton,81,RB,Republic of Ireland,EPL,3,3,H,H,177cm,67kg,29
2017/2018,Mamadou Sakho,Crystal Palace,81,CB,France,EPL,2,2,M,H,187cm,83kg,28
2017/2018,Christian Benteke,Crystal Palace,81,ST,Belgium,EPL,3,4,M,L,190cm,83kg,27
2017/2018,Manuel Lanzini,West Ham United,81,CAM,Argentina,EPL,4,4,M,M,167cm,59kg,25
2017/2018,Jack Wilshere,Arsenal,81,CM,England,EPL,3,2,M,M,172cm,68kg,26
2017/2018,Chris Smalling,Manchester United,81,CB,England,EPL,2,3,M,H,194cm,81kg,28
2017/2018,Marcos Alonso,Chelsea,81,LWB,Spain,EPL,3,3,H,H,188cm,84kg,27
2017/2018,Dejan Lovren,Liverpool,81,CB,Croatia,EPL,2,4,M,H,188cm,84kg,28
2017/2018,Grzegorz Krychowiak,West Bromwich Albion,81,CDM,Poland,EPL,2,3,M,H,186cm,85kg,28
2017/2018,Serge Aurier,Tottenham Hotspur,81,RB,Côte d'Ivoire,EPL,3,3,H,H,176cm,76kg,25
2017/2018,Wilfried Zaha,Crystal Palace,81,RM,Côte d'Ivoire,EPL,4,3,H,M,180cm,66kg,25
2017/2018,Ross Barkley,Everton,81,CAM,England,EPL,3,5,M,M,189cm,76kg,24
2017/2018,Jack Butland,Stoke City,81,GK,England,EPL,1,3,M,M,196cm,95kg,25
2017/2018,Héctor Bellerín,Arsenal,81,RB,Spain,EPL,3,3,H,M,178cm,74kg,23
2017/2018,Michael Keane,Everton,81,CB,England,EPL,2,3,M,H,191cm,82kg,25
2017/2018,Jamie Vardy,Leicester City,81,ST,England,EPL,3,3,H,H,178cm,76kg,31
2017/2018,Andreas Christensen,Chelsea,81,CB,Denmark,EPL,2,3,M,M,188cm,78kg,22
2017/2018,Davinson Sánchez,Tottenham Hotspur,81,CB,Colombia,EPL,2,3,M,H,187cm,79kg,21
2017/2018,Gabriel Jesus,Manchester City,81,ST,Brazil,EPL,4,4,H,H,175cm,73kg,21
2017/2018,Ross Barkley,Chelsea,81,CAM,England,EPL,3,5,M,M,189cm,76kg,24
2017/2018,Sead Kolašinac,Arsenal,81,LWB,Bosnia and Herzegovina,EPL,2,2,M,H,183cm,85kg,24
2017/2018,Marcus Rashford,Manchester United,81,LM,England,EPL,4,4,H,L,185cm,70kg,20
2017/2018,Phil Jones,Manchester United,81,CB,England,EPL,2,3,M,H,185cm,71kg,26
2017/2018,Patrice Evra,West Ham United,81,LB,France,EPL,3,2,M,H,174cm,75kg,37
2017/2018,Lucas Pérez Martínez,Arsenal,81,ST,Spain,EPL,4,4,H,M,180cm,73kg,29
2017/2018,Jack Wilshere,West Ham United,81,CM,England,EPL,3,2,M,M,172cm,68kg,26
2017/2018,Jorginho,Chelsea,81,CM,Italy,EPL,3,3,M,M,180cm,65kg,26
2017/2018,Andriy Yarmolenko,West Ham United,81,RM,Ukraine,EPL,5,2,H,H,189cm,81kg,28
2017/2018,Felipe Anderson,West Ham United,81,RW,Brazil,EPL,4,4,H,H,175cm,70kg,25
2017/2018,Lucas Pérez Martínez,West Ham United,81,ST,Spain,EPL,4,4,H,M,180cm,73kg,29
2017/2018,Michael Carrick,Manchester United,80,CDM,England,EPL,2,3,L,M,188cm,74kg,36
2017/2018,Jermain Defoe,Bournemouth,80,ST,England,EPL,3,4,M,L,171cm,65kg,35
2017/2018,Phil Jagielka,Everton,80,CB,England,EPL,2,3,M,H,180cm,87kg,35
2017/2018,Gomes,Watford,80,GK,Brazil,EPL,1,2,M,M,191cm,91kg,37
2017/2018,James Milner,Liverpool,80,LB,England,EPL,3,4,H,H,175cm,70kg,32
2017/2018,Ben Foster,West Bromwich Albion,80,GK,England,EPL,1,3,M,M,193cm,90kg,35
2017/2018,Tom Heaton,Burnley,80,GK,England,EPL,1,3,M,M,188cm,86kg,32
2017/2018,Łukasz Fabiański,Swansea City,80,GK,Poland,EPL,1,2,M,M,190cm,83kg,33
2017/2018,Theo Walcott,Arsenal,80,RM,England,EPL,3,3,M,M,176cm,68kg,29
2017/2018,Ryan Bertrand,Southampton,80,LB,England,EPL,2,3,H,M,179cm,85kg,28
2017/2018,Erik Lamela,Tottenham Hotspur,80,RM,Argentina,EPL,4,2,H,H,181cm,80kg,26
2017/2018,José Fonte,West Ham United,80,CB,Portugal,EPL,2,3,M,H,187cm,81kg,34
2017/2018,Sergio Romero,Manchester United,80,GK,Argentina,EPL,1,3,M,M,192cm,87kg,31
2017/2018,André Ayew,West Ham United,80,RM,Ghana,EPL,3,3,H,M,176cm,72kg,28
2017/2018,Nacho Monreal,Arsenal,80,LB,Spain,EPL,2,3,H,H,179cm,72kg,32
2017/2018,Angelo Ogbonna,West Ham United,80,CB,Italy,EPL,2,3,H,M,191cm,86kg,30
2017/2018,Matteo Darmian,Manchester United,80,LB,Italy,EPL,3,5,L,H,182cm,70kg,28
2017/2018,Danny Welbeck,Arsenal,80,ST,England,EPL,3,3,H,H,185cm,73kg,27
2017/2018,James McCarthy,Everton,80,CDM,Republic of Ireland,EPL,3,4,M,H,180cm,72kg,27
2017/2018,Salomón Rondón,West Bromwich Albion,80,ST,Venezuela,EPL,3,4,H,M,186cm,86kg,28
2017/2018,Michail Antonio,West Ham United,80,ST,England,EPL,4,4,H,H,180cm,79kg,28
2017/2018,Daley Blind,Manchester United,80,LB,Holland,EPL,2,4,M,M,180cm,72kg,28
2017/2018,Roberto Pereyra,Watford,80,CM,Argentina,EPL,4,4,H,H,182cm,77kg,27
2017/2018,Alex Oxlade-Chamberlain,Liverpool,80,RM,England,EPL,4,4,H,M,175cm,70kg,24
2017/2018,Dušan Tadić,Southampton,80,CAM,Serbia,EPL,4,2,M,M,181cm,76kg,29
2017/2018,Loris Karius,Liverpool,80,GK,Germany,EPL,1,3,M,M,189cm,75kg,24
2017/2018,Michy Batshuayi,Chelsea,80,ST,Belgium,EPL,3,4,M,L,185cm,86kg,24
2017/2018,Sead Kolašinac,Arsenal,80,LB,Bosnia and Herzegovina,EPL,2,2,M,H,183cm,85kg,24
2017/2018,Theo Walcott,Everton,80,RM,England,EPL,3,3,M,M,176cm,68kg,29
2017/2018,André Ayew,Swansea City,80,CAM,Ghana,EPL,3,3,H,M,176cm,72kg,28
2017/2018,John Stones,Manchester City,80,CB,England,EPL,2,4,H,M,188cm,75kg,23
2017/2018,Jesse Lingard,Manchester United,80,CAM,England,EPL,3,3,H,H,175cm,62kg,25
2017/2018,Cenk Tosun,Everton,80,ST,Turkey,EPL,3,4,H,M,183cm,78kg,26
2017/2018,Ben Davies,Tottenham Hotspur,80,LB,Wales,EPL,2,3,M,H,182cm,76kg,25
2017/2018,Ricardo Pereira,Leicester City,80,RB,Portugal,EPL,3,4,H,H,175cm,70kg,24
2017/2018,Fred,Manchester United,80,CM,Brazil,EPL,3,4,H,H,169cm,64kg,25
2017/2018,Ben Foster,Watford,80,GK,England,EPL,1,3,M,M,193cm,90kg,35
2017/2018,Łukasz Fabiański,West Ham United,80,GK,Poland,EPL,1,2,M,M,190cm,83kg,33
2017/2018,Alisson Ramses Becker,Liverpool,80,GK,Brazil,EPL,1,2,M,M,191cm,91kg,25
2017/2018,Salomón Rondón,Newcastle United,80,ST,Venezuela,EPL,3,4,H,M,186cm,86kg,28
2017/2018,Yerry Mina,Everton,80,CB,Colombia,EPL,2,2,M,H,195cm,94kg,23
2017/2018,Gareth Barry,West Bromwich Albion,79,CDM,England,EPL,2,3,M,M,183cm,78kg,37
2017/2018,Michel Vorm,Tottenham Hotspur,79,GK,Holland,EPL,1,3,M,M,184cm,84kg,34
2017/2018,Willy Caballero,Chelsea,79,GK,Argentina,EPL,1,3,M,M,186cm,80kg,36
2017/2018,Pablo Zabaleta,West Ham United,79,RB,Argentina,EPL,3,3,H,H,178cm,74kg,33
2017/2018,Yohan Cabaye,Crystal Palace,79,CM,France,EPL,3,4,M,M,174cm,70kg,32
2017/2018,Jonny Evans,West Bromwich Albion,79,CB,Northern Ireland,EPL,2,4,M,M,188cm,77kg,30
2017/2018,Ryan Shawcross,Stoke City,79,CB,England,EPL,2,3,M,H,191cm,76kg,30
2017/2018,Victor Moses,Chelsea,79,RWB,Nigeria,EPL,4,4,M,M,177cm,79kg,27
2017/2018,Winston Reid,West Ham United,79,CB,New Zealand,EPL,2,3,M,H,190cm,87kg,29
2017/2018,David Ospina,Arsenal,79,GK,Colombia,EPL,1,3,M,M,183cm,80kg,29
2017/2018,Marouane Fellaini,Manchester United,79,CDM,Belgium,EPL,3,3,M,M,194cm,85kg,30
2017/2018,Sebastian Prödl,Watford,79,CB,Austria,EPL,2,2,M,M,196cm,97kg,30
2017/2018,Claudio Yacob,West Bromwich Albion,79,CDM,Argentina,EPL,2,3,M,H,181cm,73kg,30
2017/2018,Danny Drinkwater,Chelsea,79,CM,England,EPL,3,4,M,M,177cm,70kg,28
2017/2018,Francis Coquelin,Arsenal,79,CDM,France,EPL,3,3,M,H,178cm,74kg,27
2017/2018,Wilfried Bony,Swansea City,79,ST,Côte d'Ivoire,EPL,3,4,M,L,182cm,88kg,29
2017/2018,Eliaquim Mangala,Manchester City,79,CB,France,EPL,2,4,M,H,187cm,84kg,27
2017/2018,Adrián,West Ham United,79,GK,Spain,EPL,1,2,M,M,190cm,80kg,31
2017/2018,Phil Jones,Manchester United,79,CB,England,EPL,2,3,M,H,185cm,71kg,26
2017/2018,Florian Lejeune,Newcastle United,79,CB,France,EPL,2,3,M,H,190cm,81kg,27
2017/2018,Manolo Gabbiadini,Southampton,79,ST,Italy,EPL,3,3,H,L,186cm,81kg,26
2017/2018,Bruno Martins Indi,Stoke City,79,CB,Holland,EPL,2,3,M,H,185cm,80kg,26
2017/2018,Oriol Romeu,Southampton,79,CDM,Spain,EPL,2,3,M,H,183cm,83kg,26
2017/2018,Cédric,Southampton,79,RB,Portugal,EPL,2,4,H,M,172cm,67kg,26
2017/2018,Federico Fernández,Swansea City,79,CB,Argentina,EPL,2,2,M,M,190cm,83kg,29
2017/2018,John Stones,Manchester City,79,CB,England,EPL,2,4,H,M,188cm,75kg,23
2017/2018,Kurt Zouma,Stoke City,79,CB,France,EPL,2,3,M,M,190cm,96kg,23
2017/2018,Luke Shaw,Manchester United,79,LB,England,EPL,2,2,H,M,185cm,75kg,22
2017/2018,Emre Can,Liverpool,79,CM,Germany,EPL,3,4,H,H,184cm,82kg,24
2017/2018,Sofiane Boufal,Southampton,79,LW,Morocco,EPL,5,4,H,L,170cm,60kg,24
2017/2018,Davide Zappacosta,Chelsea,79,RB,Italy,EPL,2,3,H,H,182cm,70kg,25
2017/2018,Victor Lindelöf,Manchester United,79,CB,Sweden,EPL,2,3,M,M,187cm,80kg,23
2017/2018,Marcus Rashford,Manchester United,79,ST,England,EPL,4,4,H,L,185cm,70kg,20
2017/2018,Eliaquim Mangala,Everton,79,CB,France,EPL,2,4,M,H,187cm,84kg,27
2017/2018,Jordan Pickford,Everton,79,GK,England,EPL,1,3,M,M,185cm,77kg,24
2017/2018,Harry Maguire,Leicester City,79,CB,England,EPL,2,3,M,M,188cm,79kg,25
2017/2018,Jonny Evans,Leicester City,79,CB,Northern Ireland,EPL,2,4,M,M,188cm,77kg,30
2017/2018,Florin Andone,Brighton & Hove Albion,79,ST,Romania,EPL,3,3,H,H,180cm,78kg,25
2017/2018,Kurt Zouma,Chelsea,79,CB,France,EPL,2,3,M,M,190cm,96kg,23
2017/2018,Nordin Amrabat,Watford,79,LM,Morocco,EPL,4,2,H,M,181cm,84kg,31
2017/2018,Bojan Krkić Pérez,Stoke City,79,CAM,Spain,EPL,4,4,H,L,170cm,65kg,27
2017/2018,Jannik Vestergaard,Southampton,79,CB,Denmark,EPL,2,3,M,M,199cm,98kg,25
2017/2018,Lucas Digne,Everton,79,LB,France,EPL,3,3,H,M,178cm,74kg,24
2017/2018,Max Meyer,Crystal Palace,79,CM,Germany,EPL,4,4,H,M,173cm,68kg,22
2017/2018,Kepa Arrizabalaga,Chelsea,79,GK,Spain,EPL,1,4,M,M,188cm,83kg,23
2017/2018,Bernard,Everton,79,LM,Brazil,EPL,4,4,H,M,164cm,57kg,25
2017/2018,Kurt Zouma,Everton,79,CB,France,EPL,2,3,M,M,190cm,96kg,23
2017/2018,Federico Fernández,Newcastle United,79,CB,Argentina,EPL,2,2,M,M,190cm,83kg,29
2017/2018,Robert Huth,Leicester City,78,CB,Germany,EPL,2,3,L,H,191cm,88kg,33
2017/2018,Ragnar Klavan,Liverpool,78,CB,Estonia,EPL,2,3,M,M,187cm,85kg,32
2017/2018,Scott Dann,Crystal Palace,78,CB,England,EPL,2,3,L,M,188cm,78kg,31
