season,player_name,team,player_rating,position,nation,league,skill_moves,weak_foot_quality,work_rate_a,work_rate_d,player_height,player_weight,age
2011/2012,Branislav Ivanović,Chelsea,83,CB,Serbia,EPL,2,3,,,188cm,86kg,28
2011/2012,Shay Given,Aston Villa,82,GK,Republic of Ireland,EPL,1,3,,,185cm,84kg,36
2011/2012,Scott Parker,Tottenham Hotspur,82,CM,England,EPL,3,3,,,175cm,69kg,31
2011/2012,Yossi Benayoun,Arsenal,82,CAM,Israel,EPL,3,4,,,178cm,70kg,32
2011/2012,Michael Carrick,Manchester United,82,CM,England,EPL,2,4,,,185cm,74kg,30
2011/2012,Dimitar Berbatov,Manchester United,82,ST,Bulgaria,EPL,4,3,,,189cm,80kg,31
2011/2012,Ji Sung Park,Manchester United,82,RM,Korea Republic,EPL,3,3,,,175cm,73kg,31
2011/2012,Mikel Arteta Amatriain,Arsenal,82,CM,Spain,EPL,4,4,,,175cm,64kg,30
2011/2012,Raúl José Trindade Meireles,Chelsea,82,CM,Portugal,EPL,3,4,,,179cm,65kg,29
2011/2012,Aaron Lennon,Tottenham Hotspur,82,RM,England,EPL,4,3,,,165cm,63kg,25
2011/2012,Alexandre Song,Arsenal,82,CDM,Cameroon,EPL,2,3,,,184cm,75kg,24
2011/2012,Theo Walcott,Arsenal,82,RW,England,EPL,4,3,,,175cm,67kg,23
2011/2012,Adam Johnson,Manchester City,82,LW,England,EPL,4,4,,,175cm,66kg,24
2011/2012,Javier Hernández,Manchester United,82,ST,Mexico,EPL,3,4,,,175cm,62kg,23
2011/2012,David Luiz,Chelsea,82,CB,Brazil,EPL,2,4,,,189cm,84kg,25
2011/2012,Jack Wilshere,Arsenal,82,CM,England,EPL,4,3,,,173cm,65kg,20
2011/2012,William Gallas,Tottenham Hotspur,81,CB,France,EPL,2,3,,,181cm,72kg,34
2011/2012,Gareth Barry,Manchester City,81,CDM,England,EPL,2,3,,,183cm,79kg,31
2011/2012,Tomáš Rosický,Arsenal,81,CAM,Czech Republic,EPL,4,4,,,179cm,68kg,31
2011/2012,Brad Friedel,Tottenham Hotspur,81,GK,United States,EPL,1,2,,,188cm,92kg,41
2011/2012,Tim Howard,Everton,81,GK,United States,EPL,1,3,,,191cm,88kg,33
2011/2012,Marouane Chamakh,Arsenal,81,ST,Morocco,EPL,3,3,,,188cm,70kg,28
2011/2012,James Milner,Manchester City,81,CM,England,EPL,3,4,,,176cm,70kg,26
2011/2012,Darren Fletcher,Manchester United,81,CM,Scotland,EPL,2,3,,,184cm,83kg,28
2011/2012,Salomon Kalou,Chelsea,81,RW,Ivory Coast,EPL,4,3,,,186cm,78kg,26
2011/2012,John Obi Mikel,Chelsea,81,CDM,Nigeria,EPL,2,3,,,188cm,86kg,25
2011/2012,Asamoah Gyan,Sunderland,81,ST,Ghana,EPL,3,3,,,180cm,77kg,26
2011/2012,Andy Carroll,Liverpool,81,ST,England,EPL,3,3,,,191cm,76kg,23
2011/2012,Mario Balotelli,Manchester City,81,ST,Italy,EPL,4,4,,,189cm,88kg,21
2011/2012,José Bosingwa da Silva,Chelsea,80,RB,Portugal,EPL,3,4,,,183cm,75kg,29
2011/2012,Jamie Carragher,Liverpool,80,CB,England,EPL,2,3,,,185cm,83kg,34
2011/2012,Owen Hargreaves,Manchester City,80,CDM,England,EPL,2,4,,,180cm,73kg,31
2011/2012,Michael Dawson,Tottenham Hotspur,80,CB,England,EPL,2,3,,,188cm,76kg,28
2011/2012,Gomes,Tottenham Hotspur,80,GK,Brazil,EPL,1,2,,,191cm,82kg,31
2011/2012,Glen Johnson,Liverpool,80,RB,England,EPL,3,4,,,182cm,70kg,27
2011/2012,Joey Barton,Queens Park Rangers,80,CM,England,EPL,3,3,,,180cm,76kg,29
2011/2012,Joleon Lescott,Manchester City,80,CB,England,EPL,2,3,,,188cm,83kg,29
2011/2012,Gaël Clichy,Manchester City,80,LB,France,EPL,3,4,,,176cm,72kg,26
2011/2012,Charlie Adam,Liverpool,80,CM,Scotland,EPL,3,3,,,185cm,82kg,26
2011/2012,Leighton Baines,Everton,80,LB,England,EPL,3,3,,,170cm,70kg,27
2011/2012,Martin Škrtel,Liverpool,80,CB,Slovakia,EPL,2,3,,,191cm,81kg,27
2011/2012,Yohan Cabaye,Newcastle United,80,CM,France,EPL,2,4,,,175cm,72kg,26
2011/2012,Micah Richards,Manchester City,80,RB,England,EPL,2,3,,,181cm,83kg,23
2011/2012,Daniel Sturridge,Chelsea,80,ST,England,EPL,3,3,,,188cm,76kg,22
2011/2012,De Gea,Manchester United,80,GK,Spain,EPL,1,3,,,192cm,82kg,21
2011/2012,Shaun Wright-Phillips,Queens Park Rangers,79,RM,England,EPL,3,3,,,166cm,64kg,30
2011/2012,Louis Saha,Everton,79,ST,France,EPL,3,4,,,185cm,86kg,33
2011/2012,Craig Bellamy,Liverpool,79,CF,Wales,EPL,3,4,,,175cm,69kg,32
2011/2012,Dirk Kuyt,Liverpool,79,RW,Netherlands,EPL,3,3,,,184cm,83kg,31
2011/2012,Fabricio Coloccini,Newcastle United,79,CB,Argentina,EPL,2,4,,,183cm,78kg,30
2011/2012,Jonás Gutiérrez,Newcastle United,79,LM,Argentina,EPL,3,3,,,183cm,73kg,28
2011/2012,Niko Kranjčar,Tottenham Hotspur,79,CAM,Croatia,EPL,4,4,,,185cm,75kg,27
2011/2012,Kenwyne Jones,Stoke City,79,ST,Trinidad & Tobago,EPL,3,3,,,187cm,85kg,27
2011/2012,Ben Arfa,Newcastle United,79,RW,France,EPL,5,4,,,178cm,69kg,25
2011/2012,Stéphane Sessègnon,Sunderland,79,CAM,Benin,EPL,4,5,,,170cm,74kg,27
2011/2012,Nicklas Bendtner,Sunderland,79,ST,Denmark,EPL,3,3,,,192cm,84kg,24
2011/2012,José Enrique Sánchez Díaz,Liverpool,79,LB,Spain,EPL,3,3,,,184cm,76kg,26
2011/2012,Wilson Palacios,Stoke City,79,CDM,Honduras,EPL,2,3,,,178cm,71kg,27
2011/2012,Marouane Fellaini,Everton,79,CM,Belgium,EPL,3,4,,,194cm,85kg,24
2011/2012,Demba Ba,Newcastle United,79,ST,Senegal,EPL,3,3,,,189cm,84kg,27
2011/2012,Ramires Santos do Nascimen.,Chelsea,79,CM,Brazil,EPL,3,3,,,180cm,73kg,25
2011/2012,Aleksandar Kolarov,Manchester City,79,LB,Serbia,EPL,2,3,,,187cm,83kg,26
2011/2012,Wojciech Szczesny,Arsenal,79,GK,Poland,EPL,1,3,,,195cm,84kg,22
2011/2012,Richard Dunne,Aston Villa,78,CB,Republic of Ireland,EPL,2,1,,,188cm,96kg,32
2011/2012,Maximiliano Rodríguez,Liverpool,78,RW,Argentina,EPL,4,3,,,180cm,79kg,31
2011/2012,Peter Odemwingie,West Bromwich Albion,78,ST,Nigeria,EPL,3,3,,,182cm,74kg,30
2011/2012,Michel Vorm,Swansea City,78,GK,Netherlands,EPL,1,3,,,183cm,84kg,28
2011/2012,Robert Huth,Stoke City,78,CB,Germany,EPL,2,3,,,191cm,88kg,27
2011/2012,Roman Pavlyuchenko,Tottenham Hotspur,78,ST,Russia,EPL,3,4,,,188cm,78kg,30
2011/2012,Benoit Assou-Ekotto,Tottenham Hotspur,78,LB,Cameroon,EPL,2,3,,,180cm,69kg,28
2011/2012,Ben Foster,West Bromwich Albion,78,GK,England,EPL,1,2,,,193cm,90kg,29
2011/2012,Sebastian Larsson,Sunderland,78,RM,Sweden,EPL,3,3,,,178cm,70kg,26
2011/2012,Laurent Koscielny,Arsenal,78,CB,France,EPL,2,4,,,185cm,75kg,26
2011/2012,Giovani dos Santos,Tottenham Hotspur,78,RM,Mexico,EPL,4,3,,,171cm,60kg,23
2011/2012,Cheick Tioté,Newcastle United,78,CM,Ivory Coast,EPL,3,3,,,180cm,76kg,25
2011/2012,Lucas Leiva,Liverpool,78,CDM,Brazil,EPL,2,3,,,179cm,73kg,25
2011/2012,Adel Taarabt,Queens Park Rangers,78,CAM,Morocco,EPL,5,5,,,180cm,69kg,23
2011/2012,Sandro,Tottenham Hotspur,78,CDM,Brazil,EPL,3,3,,,187cm,75kg,23
2011/2012,Romelu Lukaku,Chelsea,78,ST,Belgium,EPL,3,4,,,191cm,94kg,19
2011/2012,Stiliyan Petrov,Aston Villa,77,CM,Bulgaria,EPL,3,4,,,180cm,77kg,32
2011/2012,Sylvain Distin,Everton,77,CB,France,EPL,2,3,,,192cm,88kg,34
2011/2012,Jermaine Pennant,Stoke City,77,RM,England,EPL,3,3,,,175cm,68kg,29
2011/2012,Paul Scharner,West Bromwich Albion,77,CDM,Austria,EPL,2,3,,,191cm,80kg,32
2011/2012,Kieran Richardson,Sunderland,77,LB,England,EPL,3,3,,,175cm,69kg,27
2011/2012,Leon Osman,Everton,77,CAM,England,EPL,3,3,,,173cm,64kg,31
2011/2012,Johan Djourou,Arsenal,77,CB,Switzerland,EPL,3,3,,,192cm,89kg,25
2011/2012,Abou Diaby,Arsenal,77,CM,France,EPL,2,3,,,188cm,76kg,26
2011/2012,Lukasz Fabianski,Arsenal,77,GK,Poland,EPL,1,2,,,190cm,84kg,27
2011/2012,Charles N'Zogbia,Aston Villa,77,RM,France,EPL,4,3,,,171cm,70kg,25
2011/2012,Chu Young Park,Arsenal,77,ST,Korea Republic,EPL,3,4,,,182cm,75kg,26
2011/2012,Anderson Luis de Abreu Oliveira,Manchester United,77,CM,Brazil,EPL,3,2,,,176cm,69kg,24
2011/2012,Ryan Shawcross,Stoke City,77,CB,England,EPL,2,3,,,191cm,76kg,24
2011/2012,Stephen Ireland,Aston Villa,77,CAM,Republic of Ireland,EPL,3,4,,,173cm,66kg,25
2011/2012,Jordan Henderson,Liverpool,77,RM,England,EPL,3,3,,,182cm,67kg,21
2011/2012,Aaron Ramsey,Arsenal,77,CAM,Wales,EPL,3,4,,,182cm,76kg,21
2011/2012,Chris Smalling,Manchester United,77,CB,England,EPL,2,3,,,192cm,81kg,22
2011/2012,Carlo Cudicini,Tottenham Hotspur,76,GK,Italy,EPL,1,2,,,185cm,80kg,38
2011/2012,Wes Brown,Sunderland,76,CB,England,EPL,2,3,,,185cm,75kg,32
2011/2012,James Collins,Aston Villa,76,CB,Wales,EPL,2,2,,,193cm,90kg,28
2011/2012,Donieber Alexander Marangão,Liverpool,76,GK,Brazil,EPL,1,3,,,194cm,91kg,32
2011/2012,Zoltán Gera,West Bromwich Albion,76,RM,Hungary,EPL,4,4,,,183cm,75kg,33
2011/2012,John Heitinga,Everton,76,CDM,Netherlands,EPL,2,3,,,180cm,72kg,28
2011/2012,Alan Hutton,Aston Villa,76,RB,Scotland,EPL,2,3,,,185cm,72kg,27
2011/2012,Pablo Zabaleta,Manchester City,76,RB,Argentina,EPL,3,3,,,177cm,76kg,27
2011/2012,DJ Campbell,Queens Park Rangers,76,ST,England,EPL,3,3,,,178cm,72kg,30
2011/2012,Steven Taylor,Newcastle United,76,CB,England,EPL,2,3,,,188cm,81kg,26
2011/2012,Younès Kaboul,Tottenham Hotspur,76,CB,France,EPL,2,3,,,188cm,87kg,26
2011/2012,Graham Dorrans,West Bromwich Albion,76,CM,Scotland,EPL,3,3,,,175cm,73kg,25
2011/2012,Asmir Begovic,Stoke City,76,GK,Bosnia Herzegovina,EPL,1,2,,,196cm,83kg,24
2011/2012,Séamus Coleman,Everton,76,RM,Republic of Ireland,EPL,2,3,,,178cm,74kg,23
2011/2012,Vedran Corluka,Tottenham Hotspur,76,RB,Croatia,EPL,3,3,,,193cm,84kg,26
2011/2012,Jack Rodwell,Everton,76,CM,England,EPL,3,5,,,188cm,81kg,21
2011/2012,Martin Kelly,Liverpool,76,RB,England,EPL,3,4,,,191cm,77kg,22
2011/2012,Danny Welbeck,Manchester United,76,ST,England,EPL,3,3,,,185cm,73kg,21
2011/2012,Kyle Walker,Tottenham Hotspur,76,RB,England,EPL,3,3,,,178cm,74kg,21
2011/2012,Rafael,Manchester United,76,RB,Brazil,EPL,3,4,,,172cm,69kg,21
2011/2012,Phil Jones,Manchester United,76,CB,England,EPL,2,3,,,180cm,71kg,20
2011/2012,Phil Neville,Everton,75,RB,England,EPL,2,4,,,180cm,76kg,35
2011/2012,John O'Shea,Sunderland,75,CB,Republic of Ireland,EPL,2,3,,,190cm,87kg,31
2011/2012,Michael Owen,Manchester United,75,ST,England,EPL,3,4,,,173cm,70kg,32
2011/2012,Tomasz Kuszczak,Manchester United,75,GK,Poland,EPL,1,2,,,190cm,84kg,30
2011/2012,Dean Whitehead,Stoke City,75,CM,England,EPL,3,3,,,183cm,76kg,30
2011/2012,Ricardo Fuller,Stoke City,75,ST,Jamaica,EPL,4,3,,,191cm,78kg,32
2011/2012,Gabriel Tamaş,West Bromwich Albion,75,CB,Romania,EPL,2,3,,,188cm,79kg,28
2011/2012,Thomas Sørensen,Stoke City,75,GK,Denmark,EPL,1,3,,,196cm,89kg,35
2011/2012,Michael Turner,Sunderland,75,CB,England,EPL,2,3,,,193cm,85kg,28
2011/2012,Jonathan Walters,Stoke City,75,ST,Republic of Ireland,EPL,3,3,,,183cm,79kg,28
2011/2012,Jermaine Jenas,Aston Villa,75,CM,England,EPL,3,3,,,181cm,76kg,29
2011/2012,Carlos Javier Cuéllar Jiménez,Aston Villa,75,CB,Spain,EPL,2,2,,,190cm,84kg,30
2011/2012,Mike Williamson,Newcastle United,75,CB,England,EPL,2,3,,,192cm,83kg,28
2011/2012,Sylvain Marveaux,Newcastle United,75,LM,France,EPL,3,3,,,172cm,66kg,26
2011/2012,André Clarindo dos Santos,Arsenal,75,LB,Brazil,EPL,3,3,,,180cm,74kg,29
2011/2012,Gabriel Agbonlahor,Aston Villa,75,ST,England,EPL,3,4,,,181cm,79kg,25
2011/2012,Shane Long,West Bromwich Albion,75,ST,Republic of Ireland,EPL,3,3,,,180cm,81kg,25
2011/2012,Jonny Evans,Manchester United,75,CB,Northern Ireland,EPL,2,3,,,188cm,77kg,24
2011/2012,Danny Simpson,Newcastle United,75,RB,England,EPL,2,3,,,174cm,72kg,25
2011/2012,Lee Cattermole,Sunderland,75,CM,England,EPL,2,4,,,178cm,76kg,24
2011/2012,Sébastien Bassong,Tottenham Hotspur,75,CB,Cameroon,EPL,2,3,,,187cm,73kg,25
2011/2012,Craig Gardner,Sunderland,75,CM,England,EPL,2,3,,,178cm,71kg,25
2011/2012,Ciaran Clark,Aston Villa,75,CB,Republic of Ireland,EPL,2,2,,,188cm,76kg,22
2011/2012,Marc Albrighton,Aston Villa,75,RM,England,EPL,3,3,,,175cm,67kg,22
2011/2012,Kieran Gibbs,Arsenal,75,LB,England,EPL,3,1,,,180cm,64kg,22
2011/2012,Davide Santon,Newcastle United,75,LB,Italy,EPL,2,3,,,187cm,77kg,21
2011/2012,Fábio,Manchester United,75,LB,Brazil,EPL,3,4,,,172cm,69kg,21
2011/2012,Ahmed Elmohamady,Sunderland,75,RM,Egypt,EPL,3,3,,,180cm,81kg,24
2011/2012,David Vaughan,Sunderland,74,CM,Wales,EPL,3,3,,,170cm,66kg,29
2011/2012,Titus Bramble,Sunderland,74,CB,England,EPL,2,3,,,185cm,87kg,30
2011/2012,Manuel Almunia Rivero,Arsenal,74,GK,Spain,EPL,1,3,,,193cm,93kg,35
2011/2012,Fábio Aurélio Rodrígues,Liverpool,74,LB,Brazil,EPL,3,2,,,173cm,74kg,32
2011/2012,Paulo Renato Rebocho Ferreira,Chelsea,74,RB,Portugal,EPL,2,3,,,183cm,76kg,33
2011/2012,Joseph Yobo,Everton,74,CB,Nigeria,EPL,2,3,,,188cm,76kg,31
2011/2012,Anders Lindegaard,Manchester United,74,GK,Denmark,EPL,1,3,,,193cm,80kg,28
2011/2012,Jonas Olsson,West Bromwich Albion,74,CB,Sweden,EPL,2,3,,,193cm,84kg,29
2011/2012,Diniyar Bilyaletdinov,Everton,74,LM,Russia,EPL,5,4,,,185cm,80kg,27
2011/2012,Andy Wilkinson,Stoke City,74,RB,England,EPL,2,3,,,180cm,69kg,27
2011/2012,Henri. Hilário Meireles Alves S.,Chelsea,74,GK,Portugal,EPL,1,2,,,189cm,88kg,36
2011/2012,Phil Bardsley,Sunderland,74,RB,Scotland,EPL,2,3,,,180cm,74kg,26
2011/2012,Glenn Whelan,Stoke City,74,CM,Republic of Ireland,EPL,3,4,,,180cm,79kg,28
2011/2012,Danny Graham,Swansea City,74,ST,England,EPL,2,3,,,185cm,88kg,26
2011/2012,Onuoha,Manchester City,74,CB,England,EPL,2,3,,,183cm,78kg,25
2011/2012,Brad Guzan,Aston Villa,74,GK,United States,EPL,1,1,,,193cm,95kg,27
2011/2012,Scott Sinclair,Swansea City,74,LW,England,EPL,4,3,,,177cm,69kg,23
2011/2012,Darron Gibson,Manchester United,74,CM,Republic of Ireland,EPL,2,4,,,183cm,80kg,24
2011/2012,Tim Krul,Newcastle United,74,GK,Netherlands,EPL,1,2,,,188cm,74kg,24
2011/2012,Keiren Westwood,Sunderland,74,GK,Republic of Ireland,EPL,1,3,,,188cm,86kg,27
2011/2012,Simon Mignolet,Sunderland,74,GK,Belgium,EPL,1,3,,,193cm,92kg,24
2011/2012,Mulumbu,West Bromwich Albion,74,CDM,DR Congo,EPL,2,4,,,177cm,70kg,25
2011/2012,Mame Diouf,Manchester United,74,ST,Senegal,EPL,3,3,,,183cm,77kg,24
2011/2012,Iago Falqué,Tottenham Hotspur,74,CAM,Spain,EPL,4,3,,,174cm,69kg,22
2011/2012,Wayne Bridge,Manchester City,73,LB,England,EPL,3,2,,,178cm,75kg,31
2011/2012,Paddy Kenny,Queens Park Rangers,73,GK,Republic of Ireland,EPL,1,2,,,185cm,89kg,34
2011/2012,Ryan Taylor,Newcastle United,73,LB,England,EPL,2,3,,,173cm,72kg,27
2011/2012,Jerome Thomas,West Bromwich Albion,73,LM,England,EPL,4,3,,,178cm,79kg,29
2011/2012,Ross Turnbull,Chelsea,73,GK,England,EPL,1,2,,,193cm,85kg,27
2011/2012,Ashley Williams,Swansea City,73,CB,Wales,EPL,2,4,,,183cm,75kg,27
2011/2012,Cameron Jerome,Stoke City,73,ST,England,EPL,3,2,,,185cm,85kg,25
2011/2012,Marc Wilson,Stoke City,73,LB,Republic of Ireland,EPL,2,3,,,188cm,80kg,24
2011/2012,Victor Anichebe,Everton,73,ST,Nigeria,EPL,3,3,,,191cm,85kg,24
2011/2012,Nathan Dyer,Swansea City,73,RW,England,EPL,4,3,,,165cm,57kg,24
2011/2012,Royston Drenthe,Everton,73,LM,Netherlands,EPL,3,2,,,168cm,73kg,25
2011/2012,Fabian Delph,Aston Villa,73,CM,England,EPL,3,2,,,174cm,60kg,22
2011/2012,Barry Bannan,Aston Villa,73,CM,Scotland,EPL,3,2,,,170cm,60kg,22
2011/2012,Nathan Delfouneso,Aston Villa,73,ST,England,EPL,3,4,,,186cm,78kg,21
2011/2012,Dan Gosling,Newcastle United,73,CM,England,EPL,2,3,,,178cm,73kg,22
2011/2012,Federico Macheda,Manchester United,73,ST,Italy,EPL,3,3,,,185cm,74kg,20
2011/2012,Tom Cleverley,Manchester United,73,CAM,England,EPL,3,3,,,175cm,67kg,22
2011/2012,Magaye Gueye,Everton,73,LM,France,EPL,3,2,,,179cm,73kg,21
2011/2012,Emile Heskey,Aston Villa,72,ST,England,EPL,3,4,,,188cm,88kg,34
2011/2012,José Filipe da Silva Moreira,Swansea City,72,GK,Portugal,EPL,1,2,,,185cm,83kg,30
2011/2012,Danny Higginbotham,Stoke City,72,LB,England,EPL,2,2,,,185cm,77kg,33
2011/2012,Gerhard Tremmel,Swansea City,72,GK,Germany,EPL,1,3,,,190cm,89kg,33
2011/2012,Leon Best,Newcastle United,72,ST,Republic of Ireland,EPL,2,4,,,185cm,76kg,25
2011/2012,Danny Guthrie,Newcastle United,72,CM,England,EPL,3,3,,,175cm,73kg,25
2011/2012,Sebastián Coates,Liverpool,72,CB,Uruguay,EPL,2,3,,,196cm,85kg,21
2011/2012,Rory Delap,Stoke City,71,CM,Republic of Ireland,EPL,3,3,,,183cm,75kg,35
2011/2012,Peter Løvenkrands,Newcastle United,71,CF,Denmark,EPL,3,3,,,180cm,76kg,32
2011/2012,Steven Reid,West Bromwich Albion,71,RB,Republic of Ireland,EPL,3,3,,,180cm,74kg,31
2011/2012,Shola Ameobi,Newcastle United,71,ST,Nigeria,EPL,3,3,,,191cm,78kg,30
2011/2012,Stephen Dobbie,Swansea City,71,CAM,Scotland,EPL,3,3,,,173cm,65kg,29
2011/2012,Danny Collins,Stoke City,71,CB,Wales,EPL,2,3,,,183cm,76kg,31
2011/2012,Alejandro Faurlín,Queens Park Rangers,71,CM,Argentina,EPL,2,3,,,185cm,79kg,25
2011/2012,Márton Fülöp,West Bromwich Albion,71,GK,Hungary,EPL,1,3,,,198cm,92kg,29
2011/2012,Tommy Smith,Queens Park Rangers,71,RW,England,EPL,3,3,,,178cm,80kg,32
2011/2012,James Morrison,West Bromwich Albion,71,RM,Scotland,EPL,3,3,,,178cm,66kg,26
2011/2012,Armand Traoré,Queens Park Rangers,71,LB,Senegal,EPL,2,2,,,185cm,82kg,22
2011/2012,Fraizer Campbell,Sunderland,71,ST,England,EPL,3,4,,,172cm,74kg,24
2011/2012,Danny Rose,Tottenham Hotspur,71,LB,England,EPL,3,3,,,173cm,75kg,21
2011/2012,Ákos Buzsáky,Queens Park Rangers,71,CAM,Hungary,EPL,4,4,,,180cm,74kg,30
2011/2012,Gabriel Obertan,Newcastle United,71,RM,France,EPL,4,4,,,186cm,79kg,23
2011/2012,Jay Spearing,Liverpool,71,CM,England,EPL,2,3,,,168cm,70kg,23
2011/2012,Emmanuel Frimpong,Arsenal,71,CDM,England,EPL,2,3,,,178cm,73kg,20
2011/2012,Costel Pantilimon,Manchester City,71,GK,Romania,EPL,1,2,,,203cm,94kg,25
2011/2012,Danny Wilson,Liverpool,71,CB,Scotland,EPL,2,2,,,187cm,79kg,20
2011/2012,Josh McEachran,Chelsea,71,CM,England,EPL,3,3,,,178cm,65kg,19
2011/2012,Ryo Miyaichi,Arsenal,71,LW,Japan,EPL,4,4,,,183cm,71kg,19
2011/2012,Kieron Dyer,Queens Park Rangers,70,CM,England,EPL,3,3,,,173cm,64kg,33
2011/2012,Alan Smith,Newcastle United,70,CM,England,EPL,3,3,,,178cm,72kg,31
2011/2012,Ferrie Bodde,Swansea City,70,CM,Netherlands,EPL,3,3,,,178cm,73kg,30
2011/2012,Marc-Antoine Fortuné,West Bromwich Albion,70,ST,France,EPL,3,3,,,183cm,80kg,30
2011/2012,Simon Cox,West Bromwich Albion,70,ST,Republic of Ireland,EPL,2,3,,,180cm,70kg,25
2011/2012,Somen Tchoyi,West Bromwich Albion,70,RM,Cameroon,EPL,4,4,,,190cm,88kg,29
2011/2012,Vito Mannone,Arsenal,70,GK,Italy,EPL,1,3,,,194cm,80kg,24
2011/2012,Eric Lichaj,Aston Villa,70,RB,United States,EPL,2,3,,,180cm,80kg,23
2011/2012,Connor Wickham,Sunderland,70,ST,England,EPL,2,4,,,191cm,73kg,19
2011/2012,Steven Caulker,Swansea City,70,CB,England,EPL,2,2,,,190cm,76kg,20
2011/2012,Jack Colback,Sunderland,70,CM,England,EPL,2,3,,,176cm,72kg,22
2011/2012,Danny Gabbidon,Queens Park Rangers,69,CB,Wales,EPL,2,3,,,178cm,71kg,32
2011/2012,Gareth McAuley,West Bromwich Albion,69,CB,Northern Ireland,EPL,2,3,,,191cm,70kg,32
2011/2012,Matthew Kilgallon,Sunderland,69,CB,England,EPL,2,3,,,188cm,81kg,28
2011/2012,Danny Pugh,Stoke City,69,LM,England,EPL,3,2,,,183cm,76kg,29
2011/2012,Alan Tate,Swansea City,69,CB,England,EPL,2,3,,,185cm,85kg,29
