,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
team_name[T.Sunderland],-0.04980493826273816,0.04319639066330089,-1.1529884209759176,0.24891513716933777,-0.13446830822493017,0.03485843169945384
team_name[T.Swansea City],0.032261278890960574,0.04194283861808394,0.7691725203608633,0.44179090127967857,-0.04994517420985968,0.11446773199178083
team_name[T.Tottenham Hotspur],-0.00704844181113486,0.03335321348707772,-0.21132721780663472,0.8326319457450524,-0.07241953901448277,0.058322655392213055
team_name[T.Watford],-0.020340125041400644,0.04615605050876696,-0.44068166182323604,0.6594434743426798,-0.11080432170719554,0.07012407162439424
team_name[T.West Bromwich Albion],-0.020091828707559115,0.0409501949115655,-0.49064061235724693,0.623680656852472,-0.10035273589412287,0.06016907847900464
team_name[T.West Ham United],-0.055081099539536334,0.03527390074731644,-1.5615256144793337,0.11839978504591904,-0.12421667459851707,0.014054475519444394
team_name[T.Wigan Athletic],-0.04690313087270823,0.052389383522104455,-0.8952793050698635,0.3706378002087033,-0.14958443574828914,0.05577817400287267
team_name[T.Wolverhampton Wanderers],-0.008553052617125769,0.04354117109933086,-0.19643598004320129,0.8442689368078327,-0.09389217981651053,0.07678607458225899
promoted[T.True],0.01944018093693859,0.01701569962905506,1.1424849615788717,0.2532524934861783,-0.013909977507760886,0.05279033938163807
is_captain[T.True],0.01653738901419434,0.01941447209311414,0.8518072979208003,0.39432105517408134,-0.021514277067167333,0.05458905509555601
basic_position[T.defender],-0.06376132119409077,0.019643002639941187,-3.2460068535775384,0.0011703602188702627,-0.1022608989166007,-0.02526174347158084
basic_position[T.goalkeeper],-0.15503024514890584,0.03160009957578487,-4.906004956633282,9.295017663385238e-07,-0.21696530222532362,-0.09309518807248807
basic_position[T.midfielder],-0.002161352388871594,0.018135251034350874,-0.11917962341837285,0.9051330497356648,-0.03770579126679207,0.033383086489048884
british_nationality[T.True],0.016696907051309245,0.011349115524156437,1.471207779652089,0.14123493391419656,-0.005546950632421787,0.03894076473504028
I(average_home_attendance / 10000),0.030209965951156423,0.004540795112463729,6.653012347602974,2.8715409273092233e-11,0.021310171069552013,0.03910976083276083
player_quality,0.0012513355170690986,0.001584491979122245,0.7897392562140303,0.4296800603521276,-0.0018542116958030928,0.00435688272994129
skill_moves,0.021306995229972602,0.009163856028021635,2.3251123942605765,0.020065951080258247,0.003346167455539926,0.039267823004405275
age,0.0006353101567362819,0.0015100276890863602,0.42072748819637557,0.6739540863600159,-0.0023242897295312303,0.0035949100430037943
trend,-0.008544161305283203,0.0015883403981504557,-5.3793011342105626,7.477554233241133e-08,-0.011657251280848106,-0.0054310713297183
